"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","TradeFlowName","TradeFlowCode","2018 in 1000 USD ","2019 in 1000 USD ","2020 in 1000 USD ","2021 in 1000 USD ","2022 in 1000 USD ","2023 in 1000 USD "
"H5","AGO"," Total","Angola","MUS","Mauritius","Import",5,2357.783,1846.765,778.106,2613.898,1505.226,
"H5","AGO"," Total","Angola","MWI","Malawi","Export",6,215.558,1104.046,,4.734,97601.904,
"H5","AGO"," Total","Angola","MWI","Malawi","Import",5,3.818,456.726,628.507,295.987,49.303,
"H5","AGO"," Total","Angola","MYS","Malaysia","Export",6,241995.206,267681.165,51918.412,122300.13,390689.892,
"H5","AGO"," Total","Angola","MYS","Malaysia","Import",5,280360.207,241286.315,182850.752,208749.436,306819.05,
"H5","AGO"," Total","Angola","NAM","Namibia","Export",6,14803.649,4309.896,10359.19,21076.303,23856.011,
"H5","AGO"," Total","Angola","NAM","Namibia","Import",5,42238.078,25244.361,25366.952,34881.305,68168.696,
"H5","AGO"," Total","Angola","NCL","New Caledonia","Import",5,10.664,209.395,1424.399,7.94,1.694,
"H5","AGO"," Total","Angola","NER","Niger","Export",6,,,22.617,,4.171,
"H5","AGO"," Total","Angola","NER","Niger","Import",5,72.097,186.623,322.212,35.976,1101.053,
"H5","AGO"," Total","Angola","NFK","Norfolk Island","Import",5,,,,3.341,,
"H5","AGO"," Total","Angola","NGA","Nigeria","Export",6,16938.641,6842.865,1228.903,877.1,1118.9,
